nohup: ignoring input
Creating Random Inputs
Starting simulations for sample size: 1000
Simulating:   0%|          | 0/1000 [00:00<?, ?it/s]Run 1/1000: keff=1.11445 ± 0.00075 | CR=144/248 | Run Time=53.55018711090088
Simulating:   0%|          | 1/1000 [00:53<14:51:37, 53.55s/it]Run 2/1000: keff=1.02194 ± 0.00071 | CR=101/248 | Run Time=61.6891086101532
Simulating:   0%|          | 2/1000 [01:55<16:10:21, 58.34s/it]Run 3/1000: keff=1.04610 ± 0.00078 | CR=99/248 | Run Time=63.316251277923584
Simulating:   0%|          | 3/1000 [02:58<16:47:09, 60.61s/it]Run 4/1000: keff=1.02103 ± 0.00076 | CR=151/248 | Run Time=62.40781044960022
Simulating:   0%|          | 4/1000 [04:00<16:57:55, 61.32s/it]Run 5/1000: keff=1.11290 ± 0.00072 | CR=78/248 | Run Time=61.53889584541321
Simulating:   0%|          | 5/1000 [05:02<16:58:12, 61.40s/it]Run 6/1000: keff=1.10901 ± 0.00071 | CR=154/248 | Run Time=63.37519979476929
Simulating:   1%|          | 6/1000 [06:05<17:08:19, 62.07s/it]Run 7/1000: keff=1.11187 ± 0.00080 | CR=96/248 | Run Time=60.95688796043396
Simulating:   1%|          | 7/1000 [07:06<17:01:15, 61.71s/it]Run 8/1000: keff=1.03572 ± 0.00071 | CR=228/248 | Run Time=60.078452825546265
Simulating:   1%|          | 8/1000 [08:06<16:51:39, 61.19s/it]Run 9/1000: keff=1.05415 ± 0.00074 | CR=175/248 | Run Time=57.991294145584106
Simulating:   1%|          | 9/1000 [09:04<16:34:07, 60.19s/it]Run 10/1000: keff=0.97537 ± 0.00075 | CR=123/248 | Run Time=58.117133378982544
Simulating:   1%|          | 10/1000 [10:03<16:22:34, 59.55s/it]Run 11/1000: keff=1.06632 ± 0.00082 | CR=108/248 | Run Time=61.37636160850525
Simulating:   1%|          | 11/1000 [11:04<16:30:47, 60.11s/it]Run 12/1000: keff=0.99334 ± 0.00072 | CR=220/248 | Run Time=60.45659685134888
Simulating:   1%|          | 12/1000 [12:04<16:31:32, 60.21s/it]Run 13/1000: keff=0.89363 ± 0.00078 | CR=19/248 | Run Time=59.908902645111084
Simulating:   1%|▏         | 13/1000 [13:04<16:29:00, 60.12s/it]Run 14/1000: keff=1.06422 ± 0.00072 | CR=185/248 | Run Time=61.041603326797485
Simulating:   1%|▏         | 14/1000 [14:05<16:32:34, 60.40s/it]Run 15/1000: keff=0.99601 ± 0.00079 | CR=156/248 | Run Time=58.56859040260315
Simulating:   2%|▏         | 15/1000 [15:04<16:22:30, 59.85s/it]Run 16/1000: keff=1.04676 ± 0.00061 | CR=208/248 | Run Time=58.52390456199646
Simulating:   2%|▏         | 16/1000 [16:02<16:14:58, 59.45s/it]Run 17/1000: keff=1.04200 ± 0.00081 | CR=201/248 | Run Time=61.340975761413574
Simulating:   2%|▏         | 17/1000 [17:04<16:23:18, 60.02s/it]Run 18/1000: keff=1.09091 ± 0.00079 | CR=194/248 | Run Time=59.17618250846863
Simulating:   2%|▏         | 18/1000 [18:03<16:18:09, 59.77s/it]Run 19/1000: keff=0.89162 ± 0.00070 | CR=7/248 | Run Time=59.87900233268738
Simulating:   2%|▏         | 19/1000 [19:03<16:17:43, 59.80s/it]Run 20/1000: keff=0.98987 ± 0.00075 | CR=110/248 | Run Time=57.69029211997986
